/Comments
filename:bats_pigments.txt
Contains BATS pigment data for years 1989-2019
/Ship information
 Ship = R/V Weatherbird I (cruises 1,2,8,9,10,11,12 and 13)
 Ship = R/V Cape Henlopen (cruises 3,4,5,6 and 7)
 Ship = R/V Cape Hatteras (cruises 33,52,52a,53,53a,54,54a,55,55a and 56)
 Ship = R/V Weatherbird II (all other cruises through 207)
 Ship = R/V Atlantic Explorer (cruises 210 through 241, and 243 onwards)
 Ship = R/V Oceanus  (cruise 242)
 Ship = R/V Endeavor (cruise 331)
/Variable list
Id     = Sample Id                  
 A unique bottle id which identifies cruise, cast, and Nisken number
 9 digit number !####$$$@@, where,
 !   =Cruise type, 1=BATS core, 2=BATS Bloom a, and 3=BATS Bloom b, etc.
 #### =Cruise number
 $$$  =Cast number, 1-80=CTD casts, 81-99=Hydrocasts (i.e. 83 = Data from Hydrocast number 3)
 @@  =Niskin number
 e.g. 1004800410 is BATS core 48, cast 4, Niskin 10
yyyymmdd = Year Month Day   
decy   = Decimal Year     
time   = Time (hhmm)      
latN   = Latitude (Deg N) 
lonW   = Longitude (Deg W)
Depth  = Depth (m)                  
p1     = pig1 (Chlorophyll c3 ng/kg)       
p2     = pig2 (chlorophyllide_a ng/kg)       
p3     = pig3 (chlorophyll c1+c2 ng/kg)     
p4     = pig4 (peridinin ng/kg)          
p5     = pig5 (19-Butanoyloxyfucoxanthin ng/kg)      
p6     = pig6 (fucoxanthin ng/kg)          
p7     = pig7 (19-Hexanoyloxyfucoxanthin ng/kg)      
p8     = pig8 (Prasinoxanthin ng/kg)          
p9     = pig9 (Diadinoxanthin ng/kg)          
p10    = pig10 (Alloxanthin ng/kg)        
p11    = pig11 (Diatoxanthin ng/kg)         
p12    = pig12 (Zeaxanthin+lutein ng/kg)      
p13    = pig13 (Chlorophyll b ng/kg)        
p14    = pig14 (Chlorophyll a ng/kg)        
p15    = pig15 (a+b Carotene ng/kg) 
Chl    = pig16 (Turner Chlorophyll_ a ug/kg)   
Phae   = pig17 (Turner Phaeopigments ug/kg)   
p18    = pig18 (Lutein ng/kg)       
p19    = pig19 (Zeaxanthin ng/kg)         
p20    = pig20 (a-Carotene ng/kg)   
p21    = pig21 (b-Carotene ng/kg)   
/Quality flags
-999 = No data
 0 = Less than detection limit
/Variables
Id	yyyymmdd	decy	time	latN	lonW	Depth	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	Chl	Phae	p18	p19	p20	p21
1000108112	  19881021	1988.80330	  455	  31.833	  64.167	   1.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.048	 -999.000	 -999	 -999	 -999	 -999
1000108111	  19881021	1988.80330	  455	  31.833	  64.167	  10.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.048	 -999.000	 -999	 -999	 -999	 -999
1000108110	  19881021	1988.80330	  455	  31.833	  64.167	  25.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.059	 -999.000	 -999	 -999	 -999	 -999
1000108109	  19881021	1988.80330	  455	  31.833	  64.167	  50.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.062	 -999.000	 -999	 -999	 -999	 -999
1000108108	  19881021	1988.80330	  455	  31.833	  64.167	 100.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.134	 -999.000	 -999	 -999	 -999	 -999
1000108107	  19881021	1988.80330	  455	  31.833	  64.167	 150.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.047	 -999.000	 -999	 -999	 -999	 -999
1000108106	  19881021	1988.80330	  455	  31.833	  64.167	 200.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.012	 -999.000	 -999	 -999	 -999	 -999
1000108105	  19881021	1988.80330	  455	  31.833	  64.167	 225.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.008	 -999.000	 -999	 -999	 -999	 -999
1000108104	  19881021	1988.80330	  455	  31.833	  64.167	 250.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.007	 -999.000	 -999	 -999	 -999	 -999
1000108103	  19881021	1988.80330	  455	  31.833	  64.167	 300.0	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	 -999	    0.007	 -999.000	 -999	 -999	 -999	 -999
